"","x"
"160",0.17
"161",0.17
"162",0.17
"163",0.17
"164",0.17
"165",0.16
"166",0.16
"167",0.16
"168",0.16
"169",0.16
"170",0.15
"171",0.15
"172",0.15
"173",0.15
"174",0.15
"175",0.15
"176",0.15
"177",0.14
"178",0.14
"179",0.14
"180",0.14
"181",0.14
"182",0.14
"183",0.14
"184",0.13
"185",0.13
"186",0.13
"187",0.13
"188",0.13
"189",0.13
"190",0.13
"191",0.13
"192",0.13
"193",0.12
"194",0.12
"195",0.12
"196",0.12
"197",0.12
"198",0.12
"199",0.12
"200",0.12
"201",0.11
"202",0.11
"203",0.11
"204",0.11
"205",0.11
"206",0.11
"207",0.11
"208",0.11
"209",0.11
"210",0.11
"211",0.11
"212",0.1
"213",0.1
"214",0.1
"215",0.1
"216",0.1
"217",0.1
"218",0.1
"219",0.1
"220",0.1
"221",0.1
"222",0.09
"223",0.09
"224",0.09
"225",0.09
"226",0.09
"227",0.09
"228",0.09
"229",0.09
"230",0.09
"231",0.09
"232",0.09
"233",0.09
"234",0.08
"235",0.08
"236",0.08
"237",0.08
"238",0.08
"239",0.08
"240",0.08
"241",0.08
"242",0.08
"243",0.08
"244",0.08
"245",0.08
"246",0.07
"247",0.07
"248",0.07
"249",0.07
"250",0.07
"251",0.07
"252",0.07
"253",0.07
"254",0.07
"255",0.07
"256",0.07
"257",0.07
"258",0.06
"259",0.06
"260",0.06
"261",0.06
"262",0.06
"263",0.06
"264",0.06
"265",0.06
"266",0.06
"267",0.06
"268",0.06
"269",0.06
"270",0.06
"271",0.05
"272",0.05
"273",0.05
"274",0.05
"275",0.05
"276",0.05
"277",0.05
"278",0.05
"279",0.05
"280",0.05
"281",0.05
"282",0.05
"283",0.05
"284",0.05
"285",0.04
"286",0.04
"287",0.04
"288",0.04
"289",0.04
"290",0.04
"291",0.04
"292",0.04
"293",0.04
"294",0.04
"295",0.04
"296",0.04
"297",0.04
"298",0.04
"299",0.03
"300",0.03
"301",0.03
"302",0.03
"303",0.03
"304",0.03
"305",0.03
"306",0.03
"307",0.03
"308",0.03
"309",0.03
"310",0.03
"311",0.02
"312",0.02
"313",0.02
"314",0.02
"315",0.02
"316",0.02
"317",0.02
"318",0.02
"319",0.02
"320",0.02
"321",0.02
"322",0.02
"323",0.02
"324",0.02
"325",0.02
"326",0.02
"327",0.01
"328",0.01
"329",0.01
"330",0.01
"331",0.01
"332",0.01
"333",0.01
"334",0.01
"335",0.01
"336",0.01
"337",0.01
"338",0.01
"339",0.01
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",-0.01
"355",-0.01
"356",-0.01
"357",-0.01
"358",-0.01
"359",-0.01
"360",-0.01
"361",-0.01
"362",-0.01
"363",-0.01
"364",-0.01
"365",-0.02
"366",-0.02
"367",-0.02
"368",-0.02
"369",-0.02
"370",-0.02
"371",-0.02
"372",-0.02
"373",-0.02
"374",-0.02
"375",-0.02
"376",-0.02
"377",-0.02
"378",-0.03
"379",-0.03
"380",-0.03
"381",-0.03
"382",-0.03
"383",-0.03
"384",-0.03
"385",-0.03
"386",-0.03
"387",-0.04
"388",-0.04
"389",-0.04
"390",-0.04
"391",-0.04
"392",-0.04
"393",-0.04
"394",-0.04
"395",-0.05
"396",-0.05
"397",-0.05
"398",-0.05
"399",-0.05
"400",-0.05
